"District","Block","Panchayat","Work_Code","Mustroll_No","Mustroll_Link","Persondays"
"BASTI","BAHADURPUR","SONBARSA","3153012014/LD/958486255824933208","9634","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=SONBARSA&panchayat_code=3153012014&fin_year=2025-2026&source=&work_code=3153012014/LD/958486255824933208&msr_no=9634&AttendanceDate=27/03/2026&Digest=dwRl8qTS7jhKcLeG6OStCQ",7
"BASTI","BAHADURPUR","PRATAPPUR","3153012064/RC/958486255823569535","9692","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=PRATAPPUR&panchayat_code=3153012064&fin_year=2025-2026&source=&work_code=3153012064/RC/958486255823569535&msr_no=9692&AttendanceDate=27/03/2026&Digest=cWc1+jMan1hW6M9gFz/7EA",1
"BASTI","BAHADURPUR","PRATAPPUR","3153012064/RC/958486255823731564","9700","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=PRATAPPUR&panchayat_code=3153012064&fin_year=2025-2026&source=&work_code=3153012064/RC/958486255823731564&msr_no=9700&AttendanceDate=27/03/2026&Digest=0jcfkr5fVSqT1MG1TKVlzg",2
"BASTI","BAHADURPUR","SISWARI RAGUBIR SINGH","3153012075/WH/958486255824013258","9663","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=SISWARI%20RAGUBIR%20SINGH&panchayat_code=3153012075&fin_year=2025-2026&source=&work_code=3153012075/WH/958486255824013258&msr_no=9663&AttendanceDate=27/03/2026&Digest=s3wjh8NNIn+hQw6dp2HTNQ",2
"BASTI","BAHADURPUR","VAISNOPUR","3153012079/LD/958486255824966695","9824","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=VAISNOPUR&panchayat_code=3153012079&fin_year=2025-2026&source=&work_code=3153012079/LD/958486255824966695&msr_no=9824&AttendanceDate=27/03/2026&Digest=4ZRRSN9ol2qOnSOUvJOj4Q",8
"BASTI","BAHADURPUR","VAISNOPUR","3153012079/LD/958486255824966695","9827","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=VAISNOPUR&panchayat_code=3153012079&fin_year=2025-2026&source=&work_code=3153012079/LD/958486255824966695&msr_no=9827&AttendanceDate=27/03/2026&Digest=F7tuEu1qEaWLT9iH5Cuxaw",5
"BASTI","BANKATI","BELSUHEE","3153011015/LD/958486255824990626","9501","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=BELSUHEE&panchayat_code=3153011015&fin_year=2025-2026&source=&work_code=3153011015/LD/958486255824990626&msr_no=9501&AttendanceDate=27/03/2026&Digest=1lSC2StxLkqYO/VTgxpk8w",6
"BASTI","BANKATI","BELSUHEE","3153011015/WC/958486255824209577","9495","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=BELSUHEE&panchayat_code=3153011015&fin_year=2025-2026&source=&work_code=3153011015/WC/958486255824209577&msr_no=9495&AttendanceDate=27/03/2026&Digest=n581dEH81hEiaLFERKK0vg",7
"BASTI","BANKATI","BHAWARA","3153011018/RC/958486255823707539","9715","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=BHAWARA&panchayat_code=3153011018&fin_year=2025-2026&source=&work_code=3153011018/RC/958486255823707539&msr_no=9715&AttendanceDate=27/03/2026&Digest=VPYEU5mN1mKQwrqvH8EG0A",5
"BASTI","BANKATI","BHAWARA","3153011018/RC/958486255823707540","9337","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=BHAWARA&panchayat_code=3153011018&fin_year=2025-2026&source=&work_code=3153011018/RC/958486255823707540&msr_no=9337&AttendanceDate=27/03/2026&Digest=/TlrzqXBU/1lk6QpnCIIPA",8
